,length,tweets
352,118,奇しくもその22年後の2010年秋場所7日目、その千代の富士の53連勝に並んでいた白鵬が稀勢の里を下して「千代の富士超え」を果たした一番の実況も担当した。- 藤井康生 http://ja.wikipedia.org/wiki/%E8%97%A4%E4%BA%95%E5%BA%B7%E7%94%9F
353,77,八千代町が発足したのは奇しくも八千代信用金庫が発足したと同じ1954年（昭和29年）であった。- 八千代銀行 http://ja.wikipedia.org/wiki/%E5%85%AB%E5%8D%83%E4%BB%A3%E9%8A%80%E8%A1%8C
354,137,奇しくもマッシュを追って島へ出向きコンサノ軍の用心棒になっている次元、斬鉄剣でも斬れないパンドラの箱を求めて島へ出向きカルロス大統領軍の用心棒になっている五ェ門の2人が島に居合わせた。- ルパン三世 ヘミングウェイ・ペーパーの謎 http://ja.wikipedia.org/wiki/%E3%83%AB%E3%83%91%E3%83%B3%E4%B8%89%E4%B8%96%20%E3%83%98%E3%83%9F%E3%83%B3%E3%82%B0%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%BB%E3%83%9A%E3%83%BC%E3%83%91%E3%83%BC%E3%81%AE%E8%AC%8E
355,93,更に1984年には映画デビューも果たすが、奇しくもデビュー作はかつて自らが熱中した野球を題材とした『瀬戸内少年野球団』であった。- 美木良介 http://ja.wikipedia.org/wiki/%E7%BE%8E%E6%9C%A8%E8%89%AF%E4%BB%8B
356,107,月日は立ち、潜水艦の設計士となった日高は最新鋭の「潜水艦1号」を設計する。奇しくもその艦の艤装委員長（進水後は艦長となる）は潜水艦乗りとなった片桐であった。- 潜水艦1号 http://ja.wikipedia.org/wiki/%E6%BD%9C%E6%B0%B4%E8%89%A61%E5%8F%B7
357,95,この日の先発はかつての同僚で、奇しくも同年から再び同僚となったジェレミー・パウエルで、攻守にわたってパウエルを支えて勝利に貢献した。- 的山哲也 http://ja.wikipedia.org/wiki/%E7%9A%84%E5%B1%B1%E5%93%B2%E4%B9%9F
358,135,横綱に勝てとゲキも飛ばされて強行出場し、痛み止めの注射が手放せない状況の中で7日目の日馬富士戦で金星を挙げる殊勲を果たした。奇しくも長男の1歳の誕生日に初金星を挙げた格好となったが、10日目から負傷により休場。- 常幸龍貴之 http://ja.wikipedia.org/wiki/%E5%B8%B8%E5%B9%B8%E9%BE%8D%E8%B2%B4%E4%B9%8B
359,109,奇しくもこの年に大久保が暗殺され、筆頭参議となった大隈は大久保の後を受けて内務卿となった伊藤博文とともに、右大臣岩倉具視を擁しながら政府を運営することになった。- 大隈財政 http://ja.wikipedia.org/wiki/%E5%A4%A7%E9%9A%88%E8%B2%A1%E6%94%BF
360,80,2013年（平成25年）1月31日に、第1子となる長女が誕生した。奇しくも、父子で同じ誕生日となった。- 翔天狼大士 http://ja.wikipedia.org/wiki/%E7%BF%94%E5%A4%A9%E7%8B%BC%E5%A4%A7%E5%A3%AB
361,107,現役最後の打席は代名詞となったヘッドスライディングを見せるも一塁ゴロ。相手投手は清水直行で、奇しくも楽天初の公式戦で先頭打者として対戦したのと同じ相手だった。- 関川浩一 http://ja.wikipedia.org/wiki/%E9%96%A2%E5%B7%9D%E6%B5%A9%E4%B8%80
362,109,優勝したイナリワンの秋のG1成績は「天皇賞・秋6着、ジャパンカップ11着、有馬記念1着」となったが、奇しくも翌年、オグリキャップが全く同じ着順を踏んだ。- 第34回有馬記念 http://ja.wikipedia.org/wiki/%E7%AC%AC34%E5%9B%9E%E6%9C%89%E9%A6%AC%E8%A8%98%E5%BF%B5
363,107,『ドラゴンクエストV』のPS2リメイクにて、初めてゲーム自体のプロデュースを担当する。奇しくも、入社後初めて手がけたシリーズでのプロデューサーデビューであった。- 三宅有 http://ja.wikipedia.org/wiki/%E4%B8%89%E5%AE%85%E6%9C%89
364,129,2014年7月30日、豪栄道の大関昇進の使者を愛知県扶桑町の境川部屋宿舎に迎えた日は、奇しくも境川の52歳の誕生日と重なり、「めでたい日が巡り合わせで同じ日になって縁を感じます」と嬉しそうに話した。- 両国梶之助 http://ja.wikipedia.org/wiki/%E4%B8%A1%E5%9B%BD%E6%A2%B6%E4%B9%8B%E5%8A%A9
365,118,ただし、何らかの監視機能が備わっているかどうかについては、映画内では特に説明はない。奇しくも、オーウェルが「1984年」を執筆した1948年は、北朝鮮が成立した年でもあった。- テレスクリーン http://ja.wikipedia.org/wiki/%E3%83%86%E3%83%AC%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3
366,177,2007年は4試合しか登板が無く、10月に球団から戦力外通告を受け（奇しくも同年、登録名が同じだった横浜ベイスターズのミツルも戦力外通告を受けている）- 田中充 (投手) http://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%AD%E5%85%85%20%28%E6%8A%95%E6%89%8B%29
367,117,奇しくも、バッジがテニス史上最初の年間グランドスラムを達成した1938年は、レーバー自身が誕生した年でもあり、彼が生まれた8月9日からちょうど1ヶ月後の出来事であった。- ロッド・レーバー http://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%83%E3%83%89%E3%83%BB%E3%83%AC%E3%83%BC%E3%83%90%E3%83%BC
368,90,奇しくも前日にはチャールズ・チャップリンが亡くなっており、その功績とは裏腹にチャップリンの訃報に隠れてしまった。- ハワード・ホークス http://ja.wikipedia.org/wiki/%E3%83%8F%E3%83%AF%E3%83%BC%E3%83%89%E3%83%BB%E3%83%9B%E3%83%BC%E3%82%AF%E3%82%B9
369,71,2003年シーズンオフ、奇しくもデレク・リーとのトレードでフロリダ・マーリンズに移籍。- 崔煕渉 http://ja.wikipedia.org/wiki/%E5%B4%94%E7%85%95%E6%B8%89
370,137,そのため奇しくも明治の鉄橋が現代に残ることとなり、都内に残る鋼鉄トラス橋としては、江東区に移設された八幡橋（旧弾正橋）に次いで二番目に古い（八幡橋は人道橋、かつ陸橋のため、車両通行可能で河上の橋としては最古）橋である。- 南高橋 http://ja.wikipedia.org/wiki/%E5%8D%97%E9%AB%98%E6%A9%8B
371,166,1988年4月30日、庶が所属していたクラブチームの旭桜会（主に日体大OBで構成）は、黒鷲旗第37回全日本バレーボール選手権1回戦で奇しくも川合俊一が所属する富士フイルムと対戦した。- 川合庶 http://ja.wikipedia.org/wiki/%E5%B7%9D%E5%90%88%E5%BA%B6
372,113,身体に負担をかけず、自然のルールに従って健康を保持し、病気を克服するというものである。奇しくも、現代の生活に足りないとされている、まさにその要点がこの書物にあふれている。- 黄帝内経 http://ja.wikipedia.org/wiki/%E9%BB%84%E5%B8%9D%E5%86%85%E7%B5%8C
373,158,これ以後、9月1日（奇しくも大韓航空機撃墜事件が発生した日である）の政治局会議を司会したのを最後にアンドロポフは公の席から姿を消し、以後、死去するまで半年近くにわたって病床から政務を行うという異例の書記長でもあった。- ユーリ・アンドロポフ http://ja.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%83%AA%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%AD%E3%83%9D%E3%83%95
374,62,奇しくもステイシーはモスと同じ仕様のマシンを駆っていた。- アラン・ステイシー http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A9%E3%83%B3%E3%83%BB%E3%82%B9%E3%83%86%E3%82%A4%E3%82%B7%E3%83%BC
375,108,奇しくも、リリースからちょうど25年に当たる2008年11月5日には、稲垣潤一&小柳ゆきのデュエットによるカヴァーシングルがリリースされた（後述）。- 悲しみがとまらない http://ja.wikipedia.org/wiki/%E6%82%B2%E3%81%97%E3%81%BF%E3%81%8C%E3%81%A8%E3%81%BE%E3%82%89%E3%81%AA%E3%81%84
376,135,FC東京に所属していた浅利悟は高校の1年先輩であり、東京ガスの社員（出向扱い）でありながらサッカー選手という、斉藤と同じような社員選手であった。奇しくも、2人は2009年シーズン終了後に現役引退している。- 斉藤雅人 http://ja.wikipedia.org/wiki/%E6%96%89%E8%97%A4%E9%9B%85%E4%BA%BA
377,109,奇しくも、目的地のブリスベン近郊にはオマニー山という山があった。- オマニー・ベイ (護衛空母) http://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%9E%E3%83%8B%E3%83%BC%E3%83%BB%E3%83%99%E3%82%A4%20%28%E8%AD%B7%E8%A1%9B%E7%A9%BA%E6%AF%8D%29
378,128,疎開中は豊田市内の浄覚寺に滞在していたが、奇しくも30年前に日本人で初めて南極へ向かった白瀬矗が晩年1946年同じ豊田市（当時は挙母市）に転居し亡くなった後、夫人と次女がタケコが浄覚寺に滞在している。- 永田武 http://ja.wikipedia.org/wiki/%E6%B0%B8%E7%94%B0%E6%AD%A6
379,134,芝、ダート、札幌から阪神まで様々な競馬場、コースで戦うも、連にも絡めないレースが続いた。4勝目は優駿牝馬から丸2年も経った後のことだったが、奇しくも優駿牝馬と同じ東京競馬場の2400mでのレースであった。- トウカイローマン http://ja.wikipedia.org/wiki/%E3%83%88%E3%82%A6%E3%82%AB%E3%82%A4%E3%83%AD%E3%83%BC%E3%83%9E%E3%83%B3
380,82, 奇しくもこの1番で栃ノ心は十両に在位していた同年7月場所から継続していた連勝記録を22でストップさせた。- 玉鷲一朗 http://ja.wikipedia.org/wiki/%E7%8E%89%E9%B7%B2%E4%B8%80%E6%9C%97
381,144,"この直後に県は愛称公募を実施し、2,350種類の案が寄せられたが、このうち「サンマリン」を含む名称で応募したのは奇しくも、長嶋が前年まで着用していた背番号と同数の「33通」であったという。- 宮崎県総合運動公園硬式野球場 http://ja.wikipedia.org/wiki/%E5%AE%AE%E5%B4%8E%E7%9C%8C%E7%B7%8F%E5%90%88%E9%81%8B%E5%8B%95%E5%85%AC%E5%9C%92%E7%A1%AC%E5%BC%8F%E9%87%8E%E7%90%83%E5%A0%B4"
382,138,2010年9月場所からは幕下に定着し（奇しくも、この場所前に師匠の放駒親方（元大関・魁傑）が日本相撲協会第11代理事長に就任している）、2011年9月場所からは幕下上位の十両昇進が見える番付に定着している。- 若乃島史也 http://ja.wikipedia.org/wiki/%E8%8B%A5%E4%B9%83%E5%B3%B6%E5%8F%B2%E4%B9%9F
383,92,奇しくも、ジョンソンが通算300勝を達成した6月4日のサンフランシスコ・ジャイアンツ戦では敗戦投手になっている。- ジョーダン・ジマーマン http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%83%80%E3%83%B3%E3%83%BB%E3%82%B8%E3%83%9E%E3%83%BC%E3%83%9E%E3%83%B3
384,89,このうちクハ1212は奇しくもモハ3000形が新製時に装着していたNT-28Bからの振り替えであった。- 北陸鉄道モハ3000形電車 http://ja.wikipedia.org/wiki/%E5%8C%97%E9%99%B8%E9%89%84%E9%81%93%E3%83%A2%E3%83%8F3000%E5%BD%A2%E9%9B%BB%E8%BB%8A
385,141,ちなみに、MBSにおける前番組及びABCにおける後番組はNET〔現・テレビ朝日〕制作の『土曜映画劇場』＝奇しくも同番組には当作品レギュラーの川口厚と後に因縁を作る増田貴光がナビゲーターとして出演していた。- バーディー大作戦 http://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%87%E3%82%A3%E3%83%BC%E5%A4%A7%E4%BD%9C%E6%88%A6
386,126,1995年、阪神・淡路大震災の最大の被災地である神戸市長田区への慰問に訪れた際には、当時の新聞紙面には「焼け跡に再び『リンゴの唄』が流れた」という見出しで紹介された。奇しくも戦後50年の年である。- 並木路子 http://ja.wikipedia.org/wiki/%E4%B8%A6%E6%9C%A8%E8%B7%AF%E5%AD%90
387,81,奇しくも、植木は前述のリメイク版に出演し、日本アカデミー賞最優秀助演男優賞受賞につながった。- 喜びも悲しみも幾歳月 http://ja.wikipedia.org/wiki/%E5%96%9C%E3%81%B3%E3%82%82%E6%82%B2%E3%81%97%E3%81%BF%E3%82%82%E5%B9%BE%E6%AD%B3%E6%9C%88
388,96,その山下の隣には、奇しくも27年前の夏に箕島対星稜戦で延長18回を戦った当時の監督、尾藤公（こちらはABCラジオに出演）が座っていた。- 山下智茂 http://ja.wikipedia.org/wiki/%E5%B1%B1%E4%B8%8B%E6%99%BA%E8%8C%82
389,72,奇しくも父・原田憲を下した議員の後継となった。- 原田憲治 http://ja.wikipedia.org/wiki/%E5%8E%9F%E7%94%B0%E6%86%B2%E6%B2%BB
390,100,三平にはその後、5代目小さんより奇しくも「柳家小三治」の襲名を提案されたこともあったが、結局「三平」を維持し、単なる前座名を一代で育て上げた。- 林家正蔵 http://ja.wikipedia.org/wiki/%E6%9E%97%E5%AE%B6%E6%AD%A3%E8%94%B5
391,98,また、八嶋が同番組内でする補足トリビアがPTAから高く評価されたこともある。番組の最終回が放送された9月27日は奇しくも八嶋の誕生日だった。- 八嶋智人 http://ja.wikipedia.org/wiki/%E5%85%AB%E5%B6%8B%E6%99%BA%E4%BA%BA
392,182,奇しくも、前述した年末の賞番組の権威も失墜し、次第にアイドル達がアピールできる媒体というものそのものが消滅したことも受け、90年前後では歌うアイドルそのものが壊滅する（もしくはアングラ化する）。- アイドル http://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB
393,78,1986年（昭和61年）11月17日 逝去（享年81）　-　命日の11月17日は奇しくも将棋の日。- 木村義雄 http://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9D%91%E7%BE%A9%E9%9B%84
394,142,裕福な家庭の元で育った独善的な性格の宮坂と、不幸な家庭に生まれた人一倍負けず嫌いの真樹。2人はボクシング部でライバルだった。そして奇しくも同じ刑事として警視庁緑橋署刑事課に勤務していた。- TOKYO DETECTIVE 二人の事件簿 http://ja.wikipedia.org/wiki/TOKYO%20DETECTIVE%20%E4%BA%8C%E4%BA%BA%E3%81%AE%E4%BA%8B%E4%BB%B6%E7%B0%BF
395,163,2004年4月24日(奇しくも本人の誕生日)の大宮戦にて、古賀誠史からのフリーキックを得意の頭で合わせゴールを決めた際、ポストに腹部を強打し脾臓損傷という大怪我を負うが同年8月1日の横浜FCより戦線復帰。- 太田恵介 http://ja.wikipedia.org/wiki/%E5%A4%AA%E7%94%B0%E6%81%B5%E4%BB%8B
396,76,「聞きし如まこと貴く奇しくも神さび居るかこれの水島」（長田王　万葉集3-245収録）。- 水島 (熊本県) http://ja.wikipedia.org/wiki/%E6%B0%B4%E5%B3%B6%20%28%E7%86%8A%E6%9C%AC%E7%9C%8C%29
397,78,1939年 - 弾丸列車計画のメンバーに招集される。奇しくも当時南満州鉄道の理事だった父安次郎も参加。- 島秀雄 http://ja.wikipedia.org/wiki/%E5%B3%B6%E7%A7%80%E9%9B%84
398,97,しかし、朝鮮戦争の際に、北朝鮮へ拉致され、平壌で死去したとされている。奇しくも、三・一独立運動の記念日が命日だった。- 安在鴻 http://ja.wikipedia.org/wiki/%E5%AE%89%E5%9C%A8%E9%B4%BB
399,132,勢いは止まらずカンファレンスファイナルでは4勝1敗でオクラホマシティ・サンダーを破ってマブスは5年ぶり2度目のファイナルに出場した。ファイナルの相手は奇しくも5年前と同じマイアミ・ヒートだった。- タイソン・チャンドラー http://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%82%BD%E3%83%B3%E3%83%BB%E3%83%81%E3%83%A3%E3%83%B3%E3%83%89%E3%83%A9%E3%83%BC
400,141,遊撃手で2年春・夏、3年夏の3度甲子園に出場し2年時に1学年上の野村祐輔・土生翔平らと共に選抜ではベスト8。選手権の決勝で佐賀北高校に8回、副島の逆転満塁ホームランが飛び出して敗れ、準優勝。奇しくも上本の誕生日の事であった。- 上本崇司 http://ja.wikipedia.org/wiki/%E4%B8%8A%E6%9C%AC%E5%B4%87%E5%8F%B8
401,132,勢いは止まらずカンファレンスファイナルでは4勝1敗でオクラホマシティ・サンダーを破ってマブスは5年ぶり2度目のファイナルに出場した。ファイナルの相手は奇しくも5年前と同じマイアミ・ヒートだった。- タイソン・チャンドラー http://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A4%E3%82%BD%E3%83%B3%E3%83%BB%E3%83%81%E3%83%A3%E3%83%B3%E3%83%89%E3%83%A9%E3%83%BC
402,239,"奇しくも父である幸弘の調教担当馬で、元所属厩舎である中野栄治厩舎に14年ぶりの重賞勝ちをもたらした<ref name=\""sponichi009619600\"">[http//www.sponichi.co.jp/gamble/news/2015/01/13/kiji/K20150113009619600.html 【フェアリーS】伏兵フォーマル大金星！黛、父と獲った重賞初V] スポーツニッポン 2015年1月13日。- 黛弘人 http://ja.wikipedia.org/wiki/%E9%BB%9B%E5%BC%98%E4%BA%BA"
403,136,奇しくもこの順番およびキャッチャー、そしてアカ以外の2人が投げた球の球種は原典においてゴレンジャーが野球仮面に対し放った『ゴレンジャーハリケーン変化球』と同じである。- 海賊戦隊ゴーカイジャー THE MOVIE 空飛ぶ幽霊船 http://ja.wikipedia.org/wiki/%E6%B5%B7%E8%B3%8A%E6%88%A6%E9%9A%8A%E3%82%B4%E3%83%BC%E3%82%AB%E3%82%A4%E3%82%B8%E3%83%A3%E3%83%BC%20THE%20MOVIE%20%E7%A9%BA%E9%A3%9B%E3%81%B6%E5%B9%BD%E9%9C%8A%E8%88%B9
404,123,承元4年（1210年）の順徳天皇践祚に際して、既に上皇になっていた後鳥羽天皇は奇しくも三種の神器が京都から持ち出される前月に伊勢神宮から後白河法皇に献上された剣を宝剣とみなすこととした。- 後鳥羽天皇 http://ja.wikipedia.org/wiki/%E5%BE%8C%E9%B3%A5%E7%BE%BD%E5%A4%A9%E7%9A%87
405,124,尚、上述の1973年版では田宮二郎が栗田の銀五役で出演しているが、奇しくも田宮の自殺情報がマスコミに入ったのは日本テレビ（関東ローカル）でこの1973年版（第一部）を放送している最中であった。- 花と竜 http://ja.wikipedia.org/wiki/%E8%8A%B1%E3%81%A8%E7%AB%9C
406,113,「基地局情報を元にしていた2000年代のステーションが、奇しくもステーション終焉と同時期に、GPSの高精度を手に入れて2010年代に復活した」と言えるかもしれない。- Iコンシェル http://ja.wikipedia.org/wiki/I%E3%82%B3%E3%83%B3%E3%82%B7%E3%82%A7%E3%83%AB
407,110,TBS在職中も社会人チーム（三井物産シーガルズ）に籍は置いていたが、退社後は選手として本格的に復帰。奇しくもライスボウルで対戦したアサヒビールシルバースターに入団。- 有馬隼人 http://ja.wikipedia.org/wiki/%E6%9C%89%E9%A6%AC%E9%9A%BC%E4%BA%BA
408,124,さらに校長から、正規の教師が復帰するので辞任を要請される。青田は生徒たちを混乱させないよう、誰にも言わずに気仙沼を去ることを決意する。辞任当日は奇しくも千鳥の結婚式の日でもあった。- 思えば遠くへ来たもんだ http://ja.wikipedia.org/wiki/%E6%80%9D%E3%81%88%E3%81%B0%E9%81%A0%E3%81%8F%E3%81%B8%E6%9D%A5%E3%81%9F%E3%82%82%E3%82%93%E3%81%A0
409,96,2008年10月20日に死去。満83歳没。奇しくも広島が本拠地として広島市民球場を使う最後の年に亡くなった。- ジョー・ルーツ http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%BC%E3%83%BB%E3%83%AB%E3%83%BC%E3%83%84
410,98,紙に記録された夢の内容を見せられたマルコは、奇しくもそれが自分が見る夢と同じであることを知り、真実を探すことを決意する。- クライシス・オブ・アメリカ http://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%B7%E3%82%B9%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB
411,162,このことから、1986年のタウザー23歳の誕生日（奇しくもタウザーにとって最後の誕生日であった）には蒸留所のスタッフによって、エリザベス女王の下へ「同じ日に生まれたグレンタレット蒸留所ウイスキーキャット タウザー」とタウザー名義でバースディカードが送られた。- タウザー (猫) http://ja.wikipedia.org/wiki/%E3%82%BF%E3%82%A6%E3%82%B6%E3%83%BC%20%28%E7%8C%AB%29
412,113,しかし、5月13日に軽い脳梗塞で入院したことで出馬断念を伝え、5月14日に引退を表明。奇しくも5月14日は官房長官として支えた小渕恵三が脳梗塞で死去した日と同じであった。- 青木幹雄 http://ja.wikipedia.org/wiki/%E9%9D%92%E6%9C%A8%E5%B9%B9%E9%9B%84
413,94,。『相撲』2012年2月号。奇しくも問題の2番とも、同じ尾車部屋所属である読み間違えやすい四股名の力士と本名力士の組み合わせであった。- 霜鳥典雄 http://ja.wikipedia.org/wiki/%E9%9C%9C%E9%B3%A5%E5%85%B8%E9%9B%84
414,59,一同が飛んだのは奇しくも11年前の地球。- うる星やつら オンリー・ユー http://ja.wikipedia.org/wiki/%E3%81%86%E3%82%8B%E6%98%9F%E3%82%84%E3%81%A4%E3%82%89%20%E3%82%AA%E3%83%B3%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%A6%E3%83%BC
415,120,ホリーの独特な歌唱法、バディ節は、その後日本において坂本九によって受け継がれたという（奇しくも坂本もホリー同様、飛行機事故で命を落とすことになった）。- バディ・ホリー http://ja.wikipedia.org/wiki/%E3%83%90%E3%83%87%E3%82%A3%E3%83%BB%E3%83%9B%E3%83%AA%E3%83%BC
416,93,打率.248、15本塁打、46打点）。結局、1982年5月6日、奇しくもハイズルの誕生日の翌日が自身最後のゲームとなった。- ラリー・ハイズル http://ja.wikipedia.org/wiki/%E3%83%A9%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%8F%E3%82%A4%E3%82%BA%E3%83%AB
417,97,相手は奇しくも2年前のJ1昇格を決めた入れ替え戦の対戦相手だった柏、試合会場も日立柏サッカー場と同じだった。- 2007年のJリーグ ディビジョン1 http://ja.wikipedia.org/wiki/2007%E5%B9%B4%E3%81%AEJ%E3%83%AA%E3%83%BC%E3%82%B0%20%E3%83%87%E3%82%A3%E3%83%93%E3%82%B8%E3%83%A7%E3%83%B31
418,108,最後の仕事は奇しくも自らと同じ癌患者を取り上げた報道特別番組「～その声が聞きたい～ 患者は声を求めている」（2007年5月27日放送）のナレーションであった。- 谷川明美 http://ja.wikipedia.org/wiki/%E8%B0%B7%E5%B7%9D%E6%98%8E%E7%BE%8E
419,101,奇しくも同年、バンクーバー大火に合い、2つの建物を残して全焼した。- ギャスタウン http://ja.wikipedia.org/wiki/%E3%82%AE%E3%83%A3%E3%82%B9%E3%82%BF%E3%82%A6%E3%83%B3
420,80,レース史上初の父仔制覇を成し遂げた。奇しくも、父キングヘイローと同じ7枠13番での勝利であった。- ローレルゲレイロ http://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%83%AC%E3%83%AB%E3%82%B2%E3%83%AC%E3%82%A4%E3%83%AD
421,152,男子100m背泳では、1932年のロサンゼルスオリンピック (1932年)|ロサンゼルスオリンピックの清川正二に次ぐ、日本人2人目の金メダリストであり、表彰式では奇しくもその清川からメダルを授与された。- 鈴木大地 http://ja.wikipedia.org/wiki/%E9%88%B4%E6%9C%A8%E5%A4%A7%E5%9C%B0
422,152,奇しくもこの日はトップテン自体が「八元生中継」という非常に生中継が多い日というのを目玉にしていた中で起きたもので、番組冒頭では司会者の2人にまだ事件のことが伝わっておらず、淡々と中継説明をするに終始していた。- ザ・トップテン http://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%BB%E3%83%88%E3%83%83%E3%83%97%E3%83%86%E3%83%B3
423,160,奇しくも、植木は後年「喜びも - 」が主題歌に使われた同名映画（1957年）のリメイク作「新・喜びも悲しみも幾歳月」での演技が認められ、日本アカデミー賞の最優秀助演男優賞を受賞した。- オクラホマミキサー http://ja.wikipedia.org/wiki/%E3%82%AA%E3%82%AF%E3%83%A9%E3%83%9B%E3%83%9E%E3%83%9F%E3%82%AD%E3%82%B5%E3%83%BC
424,86,奇しくもその前日には『プーさんシリーズ』でティガーの声を担当したポール・ウィンチェルも亡くなっている。- ジョン・フィードラー http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%95%E3%82%A3%E3%83%BC%E3%83%89%E3%83%A9%E3%83%BC
425,97,哀川は2006年1月から発売されたトヨタ自動車新ブランドのCMに出演していたが、その車のネーミングは奇しくもトヨタ・ラッシュであった。- RUSH! http://ja.wikipedia.org/wiki/RUSH%21
426,315,この問題の一番は、貴ノ花と北の富士が重なるように倒れた際、北の富士の右手が土俵につくのが、貴ノ花の体が土俵につくよりも早く、貴ノ花の体が、生きているのか（北の富士の手は「つき手」と見なし、貴ノ花の勝ち）死んでいる（貴ノ花が「死に体」の状態、北の富士の手を「かばい手」と見なし、北の富士の勝ち）のか、で審議が5分間の大協議に及んだものである（奇しくも、翌3月場所7日目もこの対戦は物言いがつき[http//www.youtube.com/watch?v=m3TtXi2Nsmc]、立行司22代伊之助は行司差し違えとなり、この一番は貴ノ花（前頭筆頭）が勝利した。- 木村庄之助 (25代) http://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9D%91%E5%BA%84%E4%B9%8B%E5%8A%A9%20%2825%E4%BB%A3%29
427,122,その後、長保元年（999年）11月7日、定子は第一皇子敦康親王を出産し、伊周は一家再興の望みをかけて狂喜したが、奇しくも同じ日、入内後6日目の道長長女彰子に女御の宣旨が下った。- 藤原伊周 http://ja.wikipedia.org/wiki/%E8%97%A4%E5%8E%9F%E4%BC%8A%E5%91%A8
428,121,奇しくも2012年11月には、前述の『トップ・ギア』が「ジェームス・ボンド50周年スペシャル」を放送することになり、同番組に「元スティグのスタントドライバー」として再び登場した。- ベン・コリンズ http://ja.wikipedia.org/wiki/%E3%83%99%E3%83%B3%E3%83%BB%E3%82%B3%E3%83%AA%E3%83%B3%E3%82%BA
429,111,2001年9月11日、CNNに移籍する。奇しくもこの日はアメリカ同時多発テロ事件が発生した日で、同時多発テロの現場レポートがザーンの「CNNデビュー」となった。- ポーラ・ザーン http://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%BC%E3%83%A9%E3%83%BB%E3%82%B6%E3%83%BC%E3%83%B3
430,141,過去の作曲家になぞらえた異名を取った作曲家が、本人も大きな名を刻んだ例としては、“ナポリのモーツァルト”ことロッシーニと“シャンゼリゼのモーツァルト”ことオッフェンバックが有名で、奇しくも共にモーツァルトである。- キダ・タロー http://ja.wikipedia.org/wiki/%E3%82%AD%E3%83%80%E3%83%BB%E3%82%BF%E3%83%AD%E3%83%BC
431,100,この時、ラシアンゴールドには蛯名正義、ナリタハヤブサには横山典弘が騎乗しており、奇しくも今回の事例と同じ騎手同士の組み合わせとなった。- 第71回優駿牝馬 http://ja.wikipedia.org/wiki/%E7%AC%AC71%E5%9B%9E%E5%84%AA%E9%A7%BF%E7%89%9D%E9%A6%AC
432,83,奇しくも13日にはプロレスリング・ノアの三沢光晴が亡くなったばかりで、さらに2人は同じ年齢でもあった。- テッド・タナベ http://ja.wikipedia.org/wiki/%E3%83%86%E3%83%83%E3%83%89%E3%83%BB%E3%82%BF%E3%83%8A%E3%83%99
433,251,"奇しくもランチア・デルタS4と同じシーズンの発表だけありその印象こそ薄いものの、1985年に発表されたメトロ6R4には、ローバー (自動車)|ローバー製V8エンジンをベースとしたエンジンのうち2気筒をカットして作られた、最高出力380-410PS/8,500 rpm(ロードバージョン250PS）、最大トルク31kg-m/6,500rpmを誇る総アルミニウム|アルミ製の90度V型6気筒|V6DOHC24バルブエンジンを縦置きに搭載。- MG・メトロ6R4 http://ja.wikipedia.org/wiki/MG%E3%83%BB%E3%83%A1%E3%83%88%E3%83%AD6R4"
434,110,この移籍によって、人的補償で江藤智が移籍した。その後、豊田は2010年オフに江藤の古巣である広島に移籍したが、背番号は奇しくも江藤が広島在籍時に付けていた33だった。- 豊田清 http://ja.wikipedia.org/wiki/%E8%B1%8A%E7%94%B0%E6%B8%85
435,118,第一部『余命』（よめい）の主演は水野美紀、第二部『慈命』（じめい）の主演は平山あや、第三部『使命』（しめい）の主演は石黒英雄。奇しくも三人ともに昼ドラ初出演で初主演。- 余命 (小説) http://ja.wikipedia.org/wiki/%E4%BD%99%E5%91%BD%20%28%E5%B0%8F%E8%AA%AC%29
